ItemNum	Word	Color	Response	Location	Congruency	Type	PC	MW	MC	MR	ML
1	R	R	R	U	C	biased	High	1	5	9	14
11	B	B	B	U	C	biased	High	3	7	11	14
3	R	B	B	D	I	biased	Low	1	7	11	13
9	B	R	R	D	I	biased	Low	3	5	9	13
1	R	R	R	U	C	biased	High	1	5	9	14
11	B	B	B	U	C	biased	High	3	7	11	14
3	R	B	B	D	I	biased	Low	1	7	11	13
9	B	R	R	D	I	biased	Low	3	5	9	13
1	R	R	R	U	C	biased	High	1	5	9	14
11	B	B	B	U	C	biased	High	3	7	11	14
3	R	B	B	D	I	biased	Low	1	7	11	13
9	B	R	R	D	I	biased	Low	3	5	9	13
1	R	R	R	U	C	biased	High	1	5	9	14
11	B	B	B	U	C	biased	High	3	7	11	14
3	R	B	B	D	I	biased	Low	1	7	11	13
9	B	R	R	D	I	biased	Low	3	5	9	13
1	R	R	R	U	C	biased	High	1	5	9	14
11	B	B	B	U	C	biased	High	3	7	11	14
3	R	B	B	D	I	biased	Low	1	7	11	13
9	B	R	R	D	I	biased	Low	3	5	9	13
1	R	R	R	U	C	biased	High	1	5	9	14
11	B	B	B	U	C	biased	High	3	7	11	14
3	R	B	B	D	I	biased	Low	1	7	11	13
9	B	R	R	D	I	biased	Low	3	5	9	13
1	R	R	R	U	C	biased	High	1	5	9	14
11	B	B	B	U	C	biased	High	3	7	11	14
3	R	B	B	D	I	biased	Low	1	7	11	13
9	B	R	R	D	I	biased	Low	3	5	9	13
1	R	R	R	U	C	biased	High	1	5	9	14
11	B	B	B	U	C	biased	High	3	7	11	14
3	R	B	B	D	I	biased	Low	1	7	11	13
9	B	R	R	D	I	biased	Low	3	5	9	13
1	R	R	R	U	C	biased	High	1	5	9	14
11	B	B	B	U	C	biased	High	3	7	11	14
3	R	B	B	D	I	biased	Low	1	7	11	13
9	B	R	R	D	I	biased	Low	3	5	9	13
1	R	R	R	U	C	biased	High	1	5	9	14
11	B	B	B	U	C	biased	High	3	7	11	14
3	R	B	B	D	I	biased	Low	1	7	11	13
9	B	R	R	D	I	biased	Low	3	5	9	13
1	R	R	R	U	C	biased	High	1	5	9	14
11	B	B	B	U	C	biased	High	3	7	11	14
3	R	B	B	D	I	biased	Low	1	7	11	13
9	B	R	R	D	I	biased	Low	3	5	9	13
1	R	R	R	U	C	biased	High	1	5	9	14
11	B	B	B	U	C	biased	High	3	7	11	14
3	R	B	B	D	I	biased	Low	1	7	11	13
9	B	R	R	D	I	biased	Low	3	5	9	13
6	G	G	G	D	C	unbiased	Low	2	6	10	13
8	G	Y	Y	D	I	unbiased	Low	2	8	12	13
14	Y	G	G	D	I	unbiased	Low	4	6	10	13
16	Y	Y	Y	D	C	unbiased	Low	4	8	12	13
6	G	G	G	D	C	unbiased	Low	2	6	10	13
8	G	Y	Y	D	I	unbiased	Low	2	8	12	13
14	Y	G	G	D	I	unbiased	Low	4	6	10	13
16	Y	Y	Y	D	C	unbiased	Low	4	8	12	13
6	G	G	G	D	C	unbiased	Low	2	6	10	13
8	G	Y	Y	D	I	unbiased	Low	2	8	12	13
14	Y	G	G	D	I	unbiased	Low	4	6	10	13
16	Y	Y	Y	D	C	unbiased	Low	4	8	12	13
6	G	G	G	D	C	unbiased	Low	2	6	10	13
8	G	Y	Y	D	I	unbiased	Low	2	8	12	13
14	Y	G	G	D	I	unbiased	Low	4	6	10	13
16	Y	Y	Y	D	C	unbiased	Low	4	8	12	13
6	G	G	G	D	C	unbiased	Low	2	6	10	13
8	G	Y	Y	D	I	unbiased	Low	2	8	12	13
14	Y	G	G	D	I	unbiased	Low	4	6	10	13
16	Y	Y	Y	D	C	unbiased	Low	4	8	12	13
6	G	G	G	D	C	unbiased	Low	2	6	10	13
8	G	Y	Y	D	I	unbiased	Low	2	8	12	13
14	Y	G	G	D	I	unbiased	Low	4	6	10	13
16	Y	Y	Y	D	C	unbiased	Low	4	8	12	13
6	G	G	G	U	C	unbiased	High	2	6	10	14
8	G	Y	Y	U	I	unbiased	High	2	8	12	14
14	Y	G	G	U	I	unbiased	High	4	6	10	14
16	Y	Y	Y	U	C	unbiased	High	4	8	12	14
6	G	G	G	U	C	unbiased	High	2	6	10	14
8	G	Y	Y	U	I	unbiased	High	2	8	12	14
14	Y	G	G	U	I	unbiased	High	4	6	10	14
16	Y	Y	Y	U	C	unbiased	High	4	8	12	14
6	G	G	G	U	C	unbiased	High	2	6	10	14
8	G	Y	Y	U	I	unbiased	High	2	8	12	14
14	Y	G	G	U	I	unbiased	High	4	6	10	14
16	Y	Y	Y	U	C	unbiased	High	4	8	12	14
6	G	G	G	U	C	unbiased	High	2	6	10	14
8	G	Y	Y	U	I	unbiased	High	2	8	12	14
14	Y	G	G	U	I	unbiased	High	4	6	10	14
16	Y	Y	Y	U	C	unbiased	High	4	8	12	14
6	G	G	G	U	C	unbiased	High	2	6	10	14
8	G	Y	Y	U	I	unbiased	High	2	8	12	14
14	Y	G	G	U	I	unbiased	High	4	6	10	14
16	Y	Y	Y	U	C	unbiased	High	4	8	12	14
6	G	G	G	U	C	unbiased	High	2	6	10	14
8	G	Y	Y	U	I	unbiased	High	2	8	12	14
14	Y	G	G	U	I	unbiased	High	4	6	10	14
16	Y	Y	Y	U	C	unbiased	High	4	8	12	14
