ItemNum	Word	Color	Response	Location	Congruency	PC	MW	MC	MR	ML
1	R	x	R	x	x	x	1	17	9	17
2	R	x	R	x	x	x	1	17	9	17
3	R	x	R	x	x	x	1	17	9	17
4	R	x	R	x	x	x	1	17	9	17
5	G	x	G	x	x	x	2	17	10	17
6	G	x	G	x	x	x	2	17	10	17
7	G	x	G	x	x	x	2	17	10	17
8	G	x	G	x	x	x	2	17	10	17
9	B	x	B	x	x	x	3	17	11	17
10	B	x	B	x	x	x	3	17	11	17
11	B	x	B	x	x	x	3	17	11	17
12	B	x	B	x	x	x	3	17	11	17
13	Y	x	Y	x	x	x	4	17	12	17
14	Y	x	Y	x	x	x	4	17	12	17
15	Y	x	Y	x	x	x	4	17	12	17
16	Y	x	Y	x	x	x	4	17	12	17
1	x	R	R	x	x	x	17	5	9	17
2	x	G	G	x	x	x	17	6	10	17
3	x	B	B	x	x	x	17	7	11	17
4	x	Y	Y	x	x	x	17	8	12	17
5	x	R	R	x	x	x	17	5	9	17
6	x	G	G	x	x	x	17	6	10	17
7	x	B	B	x	x	x	17	7	11	17
8	x	Y	Y	x	x	x	17	8	12	17
9	x	R	R	x	x	x	17	5	9	17
10	x	G	G	x	x	x	17	6	10	17
11	x	B	B	x	x	x	17	7	11	17
12	x	Y	Y	x	x	x	17	8	12	17
13	x	R	R	x	x	x	17	5	9	17
14	x	G	G	x	x	x	17	6	10	17
15	x	B	B	x	x	x	17	7	11	17
16	x	Y	Y	x	x	x	17	8	12	17
